model,type,Dominant_Moving,Env1,Env2,Env3,Env4,Env5,Env6,Env7,Env8,Env9,Env10,Env11,Env12
235.0,target,False,3.0,3.0,3.0,3.0,999.0,40.0,129.0,3.0,999.0,999.0,999.0,999.0
236.0,train,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
236.0,train,False,999.0,575.0,999.0,342.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
236.0,target,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
236.0,target,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
237.0,train,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
237.0,train,False,999.0,341.0,999.0,64.0,999.0,368.0,999.0,41.0,999.0,999.0,9.0,999.0
237.0,target,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
237.0,target,False,999.0,341.0,999.0,64.0,999.0,368.0,999.0,41.0,999.0,999.0,9.0,999.0
238.0,train,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
238.0,train,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
238.0,target,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
238.0,target,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
239.0,train,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,3.0,9.0,9.0,4.0
239.0,train,False,999.0,999.0,999.0,999.0,999.0,999.0,178.0,14.0,999.0,999.0,45.0,999.0
239.0,target,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,10.0,9.0,4.0
239.0,target,False,999.0,147.0,41.0,999.0,999.0,257.0,999.0,999.0,999.0,999.0,190.0,999.0
240.0,train,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
240.0,train,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
240.0,target,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
240.0,target,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
241.0,train,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
241.0,train,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,728.0,999.0
241.0,target,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
241.0,target,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
242.0,train,True,28.0,3.0,5.0,12.0,3.0,7.0,5.0,24.0,7.0,11.0,9.0,4.0
242.0,train,False,432.0,5.0,42.0,3.0,999.0,450.0,241.0,3.0,999.0,999.0,9.0,999.0
242.0,target,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
242.0,target,False,999.0,341.0,999.0,88.0,999.0,639.0,999.0,999.0,100.0,999.0,999.0,206.0
243.0,train,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
243.0,train,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
243.0,target,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
243.0,target,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,268.0
244.0,train,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
244.0,train,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
244.0,target,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
244.0,target,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
245.0,train,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,8.0,5.0,9.0,9.0,4.0
245.0,train,False,5.0,3.0,5.0,3.0,999.0,10.0,12.0,3.0,123.0,999.0,999.0,999.0
245.0,target,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,8.0,5.0,9.0,9.0,4.0
245.0,target,False,5.0,3.0,5.0,3.0,999.0,9.0,12.0,3.0,999.0,999.0,299.0,999.0
246.0,train,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
246.0,train,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
246.0,target,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
246.0,target,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
247.0,train,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
247.0,train,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
247.0,target,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
247.0,target,False,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
248.0,train,True,11.0,3.0,9.0,9.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
248.0,train,False,9.0,999.0,9.0,999.0,999.0,999.0,999.0,9.0,999.0,999.0,999.0,999.0
